수집시간,단지,구,동,거래유형,동번호,층,면적_계약,면적_전용,전용평,타입_m2,타입_평,보증금,월세,가격(억),제목,매물ID,매물URL
2026-05-13 05:57:56,헬리오시티,송파구,가락동,rental,310동,고,61.53,39.12,11.83,61B,18B,20000,240,2.0,21귀한소형월세 작은방넓은타입 신혼부부강추 올확장 풀에어컨,48992891,https://www.zigbang.com/home/apt/items/48992891
2026-05-13 05:57:56,헬리오시티,송파구,가락동,trade,104동,저,141.08,110.44,33.41,141B,43B,340000,0,34.0,42 주인의뢰 탁트인전망 거실양창구조 올확장 시스템에어컨,48988558,https://www.zigbang.com/home/apt/items/48988558
2026-05-13 05:57:56,헬리오시티,송파구,가락동,trade,110동,저,140.26,110.66,33.47,140A,42A,335000,0,33.5,42강추 정남향 입주물건 리조트뷰 올확장 풀에어컨 ,48988446,https://www.zigbang.com/home/apt/items/48988446
2026-05-13 05:57:56,헬리오시티,송파구,가락동,charter,411동,중,110.1,84.99,25.71,110D,33D,125000,0,12.5,33 초역세권 귀한전세 주인직접의뢰 남향 올확장 풀에어컨,48942058,https://www.zigbang.com/home/apt/items/48942058
2026-05-13 05:57:56,헬리오시티,송파구,가락동,rental,311동,고,72.91,49.29,14.91,72C,22C,40000,190,4.0,21 강추 소형귀한월세 거실주방분리형 선호타입 풀에어컨,48935033,https://www.zigbang.com/home/apt/items/48935033
2026-05-13 05:57:56,헬리오시티,송파구,가락동,rental,311동,고,72.91,49.29,14.91,72C,22C,40000,200,4.0,"21, 귀한 계단형 월세, 입주협의, 컨디션 좋은 집",48922733,https://www.zigbang.com/home/apt/items/48922733
2026-05-13 05:57:56,헬리오시티,송파구,가락동,charter,112동,중,109.73,84.98,25.71,109E,33E,130000,0,13.0,"33, 해누리학군, 귀한 전세, 에어컨풀, 넓은 거실",48904285,https://www.zigbang.com/home/apt/items/48904285
2026-05-13 05:57:56,헬리오시티,송파구,가락동,trade,112동,고,109.73,84.98,25.71,109E,33E,288000,0,28.8,"33, 해누리학군, 탄천뷰",48903354,https://www.zigbang.com/home/apt/items/48903354
2026-05-13 05:57:56,헬리오시티,송파구,가락동,charter,213동,중,110.1,84.99,25.71,110D,33D,130000,0,13.0,"33, 단지 중앙라인, 풀에어컨, 뻥뚤린 시원하 거실뷰",48903275,https://www.zigbang.com/home/apt/items/48903275
2026-05-13 05:57:56,헬리오시티,송파구,가락동,trade,410동,저,108.01,84.98,25.71,108K,33K,289000,0,28.9,주인직접매물 입주가능 시설상태좋은 공원자연뷰 절호매수타이밍,48889059,https://www.zigbang.com/home/apt/items/48889059
2026-05-13 05:57:56,헬리오시티,송파구,가락동,trade,415동,9,84.1,59.96,18.14,84,25,270000,0,27.0,"25, 남향, 역세권 , 햇살 부자, 뻥 뿔린뷰, 컨디션굿",48887066,https://www.zigbang.com/home/apt/items/48887066
2026-05-13 05:57:56,헬리오시티,송파구,가락동,charter,401동,중,110.1,84.99,25.71,110D,33D,125000,0,12.5,"33 귀한 역세권 남향 전세, 상가이용편리",48853179,https://www.zigbang.com/home/apt/items/48853179
2026-05-13 05:57:56,헬리오시티,송파구,가락동,rental,208동,중,110.17,84.95,25.7,110F,33F,30000,360,3.0,"33, 빠른 입주 월세, 해누리학군, 넓은 드레스룸, 주방",48853037,https://www.zigbang.com/home/apt/items/48853037
2026-05-13 05:57:56,헬리오시티,송파구,가락동,rental,201동,저,110.17,84.95,25.7,110F,33F,60000,270,6.0,"33, 해누리 학군, 대치학원가 이동 편리, 파크밴드라인",48851662,https://www.zigbang.com/home/apt/items/48851662
2026-05-13 05:57:56,헬리오시티,송파구,가락동,charter,101동,고,107.66,84.96,25.7,107J2,32J2,125000,0,12.5,"33, 해누리학군, 대치동 학원가 이동 편리,",48851441,https://www.zigbang.com/home/apt/items/48851441
2026-05-13 05:57:56,헬리오시티,송파구,가락동,rental,107동,중,110.17,84.95,25.7,110F,33F,30000,370,3.0,"33, 빠른 입주 가능, 해누리학군, 넓은 드레스룸 주방",48851076,https://www.zigbang.com/home/apt/items/48851076
2026-05-13 05:57:56,헬리오시티,송파구,가락동,charter,108동,중,141.08,110.44,33.41,141B,43B,170000,0,17.0,"42 거실 탄천뷰최고의 집, 해누리학군, 대치학원이동편리",48848615,https://www.zigbang.com/home/apt/items/48848615
2026-05-13 05:57:56,헬리오시티,송파구,가락동,charter,109동,중,110.1,84.99,25.71,110D,33D,120000,0,12.0,"33, 남향 해누리학군, 대치학원가 이동 편리",48830001,https://www.zigbang.com/home/apt/items/48830001
2026-05-13 05:57:56,헬리오시티,송파구,가락동,charter,403동,중,110.1,84.99,25.71,110D,33D,125000,0,12.5,"33, 역세권 남향 귀한 월세, 상가인접 이용편리",48828914,https://www.zigbang.com/home/apt/items/48828914
2026-05-13 05:57:56,헬리오시티,송파구,가락동,charter,513동,저,141.08,110.44,33.41,141B,43B,165000,0,16.5,"42귀한전세, 역세권 거실양창구조로 개방감굿 반전세가능",48764066,https://www.zigbang.com/home/apt/items/48764066
2026-05-13 05:57:56,헬리오시티,송파구,가락동,charter,110동,저,140.26,110.66,33.47,140A,42A,158000,0,15.8,42울트라급가격조건 귀한전세 계약가능매물 올확장 풀에어컨,48763900,https://www.zigbang.com/home/apt/items/48763900
2026-05-13 05:57:56,헬리오시티,송파구,가락동,trade,316동,중,110.17,84.95,25.7,110F,33F,298000,0,29.8,33빠른입주가능 주인직접의뢰 계약가능실매물 올확장 풀에어컨,48763084,https://www.zigbang.com/home/apt/items/48763084
2026-05-13 05:57:56,헬리오시티,송파구,가락동,rental,212동,중,62.46,39.86,12.06,62C,19C,10000,300,1.0,"18, 귀한 C타입 보증금 2억까지가능, 풀옵션",48752988,https://www.zigbang.com/home/apt/items/48752988
2026-05-13 05:57:56,헬리오시티,송파구,가락동,trade,310동,중,61.37,39.1,11.83,61A,18A,198000,0,19.8,18급매 바로계약가능 주인직접의뢰 올확장 풀에어컨,48698679,https://www.zigbang.com/home/apt/items/48698679
2026-05-13 05:57:56,헬리오시티,송파구,가락동,trade,515동,고,110.17,84.95,25.7,110F,33F,310000,0,31.0,"33,역세권, 파크밴드뷰, 입주가능, 식당, 커뮤니티 편리",48696585,https://www.zigbang.com/home/apt/items/48696585
2026-05-13 05:57:56,헬리오시티,송파구,가락동,trade,304동,중,107.97,84.98,25.71,107A,32A,300000,0,30.0,33다주택급매 전세안고매매 남향판상형 바로계약가능 풀에어컨,48684451,https://www.zigbang.com/home/apt/items/48684451
2026-05-13 05:57:56,헬리오시티,송파구,가락동,rental,110동,중,140.26,110.66,33.47,140A,42A,80000,200,8.0,"42놀라운초초초가격, 빠른선점기회 파노라마탄천뷰 풀에어컨",48665607,https://www.zigbang.com/home/apt/items/48665607
2026-05-13 05:57:56,헬리오시티,송파구,가락동,rental,102동,중,110.1,84.99,25.71,110D,33D,90000,120,9.0,"33, 남향, 해누리 학군, 대치학원가 이동편리",48663555,https://www.zigbang.com/home/apt/items/48663555
2026-05-13 05:57:56,헬리오시티,송파구,가락동,rental,109동,12,110.17,84.95,25.7,110F,33F,30000,360,3.0,"33,즉시입주가능, 에어컨풀, 해누리, 2억보증금가능",48663270,https://www.zigbang.com/home/apt/items/48663270
2026-05-13 05:57:56,헬리오시티,송파구,가락동,rental,111동,저,126.35,99.6,30.13,126,38,100000,160,10.0,"38, 해누리학군, 남향 판상형, 햇살, 통풍굿, 탄천뷰굿",48650059,https://www.zigbang.com/home/apt/items/48650059
2026-05-13 05:57:56,헬리오시티,송파구,가락동,rental,513동,중,140.26,110.66,33.47,140A,42A,130000,150,13.0,42강추 보증금높은반전세 초역세권 남향 살기편한동 장기거주,48645317,https://www.zigbang.com/home/apt/items/48645317
2026-05-13 05:57:56,헬리오시티,송파구,가락동,charter,108동,중,141.08,110.44,33.41,141B,43B,170000,0,17.0,42강추 귀한대형전세 거실양창구조 파노라마탄천뷰 풀에어컨,48644648,https://www.zigbang.com/home/apt/items/48644648
2026-05-13 05:57:56,헬리오시티,송파구,가락동,rental,213동,중,110.1,84.99,25.71,110D,33D,50000,290,5.0,33특급추천 남향 뻥뷰 통풍굿 바로계약가능 올확장 풀에어컨,48644184,https://www.zigbang.com/home/apt/items/48644184
2026-05-13 05:57:56,헬리오시티,송파구,가락동,rental,106동,중,110.1,84.99,25.71,110D,33D,30000,370,3.0,33강추월세 주인의뢰 파크밴드뷰 올확장 풀에어컨 장기거주가,48633532,https://www.zigbang.com/home/apt/items/48633532
2026-05-13 05:57:56,헬리오시티,송파구,가락동,rental,111동,저,140.26,110.66,33.47,140A,42A,80000,400,8.0,"42, 특올수리, 빠른 입주 가능, 정원뷰, 해누리학군",48603852,https://www.zigbang.com/home/apt/items/48603852
2026-05-13 05:57:56,헬리오시티,송파구,가락동,charter,111동,고,141.08,110.44,33.41,141B,43B,190000,0,19.0,"42, 파노라마 탄천뷰, 특인테리어, 해누리학군",48603783,https://www.zigbang.com/home/apt/items/48603783
2026-05-13 05:57:56,헬리오시티,송파구,가락동,trade,111동,중,126.35,99.6,30.13,126,38,320000,0,32.0,"42, 주인직접, 입주 급매, 시원한 탄천뷰, 위신선 혜택",48602779,https://www.zigbang.com/home/apt/items/48602779
2026-05-13 05:57:56,헬리오시티,송파구,가락동,charter,218동,중,110.1,84.99,25.71,110D,33D,128000,0,12.8,33귀한전세 남향 자연액자전망 올확장 풀에어컨 장기거주가능,48597649,https://www.zigbang.com/home/apt/items/48597649
2026-05-13 05:57:56,헬리오시티,송파구,가락동,trade,308동,중,61.37,39.1,11.83,61A,18A,199000,0,19.9,18강추 급매 입주가능물건 신혼부부추천 올확장 풀에어컨,48593313,https://www.zigbang.com/home/apt/items/48593313
2026-05-13 05:57:56,헬리오시티,송파구,가락동,trade,310동,중,61.37,39.1,11.83,61A,18A,200000,0,20.0,18급매 살기편한동 입주물건 올확장 풀에어컨,48593272,https://www.zigbang.com/home/apt/items/48593272
2026-05-13 05:57:56,헬리오시티,송파구,가락동,charter,219동,중,107.97,84.98,25.71,107A,32A,127000,0,12.7,33강추 주인직접의뢰 남향 탁트인 남한산성뷰 풀에어컨 ,48589670,https://www.zigbang.com/home/apt/items/48589670
2026-05-13 05:57:56,헬리오시티,송파구,가락동,trade,310동,고,61.37,39.1,11.83,61A,18A,220000,0,22.0,18급매 주인직접의뢰 계약가능매물 입주 올확장 풀에어컨,48583487,https://www.zigbang.com/home/apt/items/48583487
2026-05-13 05:57:56,헬리오시티,송파구,가락동,rental,414동,중,107.97,84.98,25.71,107A,32A,100000,100,10.0,33귀한역세권매물 남향 탁트인뷰 채광조망굿 올확장 풀에어컨,48561877,https://www.zigbang.com/home/apt/items/48561877
2026-05-13 05:57:56,헬리오시티,송파구,가락동,rental,111동,저,140.26,110.66,33.47,140A,42A,50000,460,5.0,42추천 자연을품은 최고의뷰 방4 화2 올확장 풀에어컨,48559300,https://www.zigbang.com/home/apt/items/48559300
2026-05-13 05:57:56,헬리오시티,송파구,가락동,trade,310동,고,61.37,39.1,11.83,61A,18A,201000,0,20.1,18급매 다주택입주매물 신혼강추 올확장 풀에어컨,48542298,https://www.zigbang.com/home/apt/items/48542298
2026-05-13 05:57:56,헬리오시티,송파구,가락동,rental,108동,중,140.26,110.66,33.47,140A,42A,90000,240,9.0,"42, 탄천뷰, 해누리학군, 탁트인 탄천뷰, 풀에어컨",48516288,https://www.zigbang.com/home/apt/items/48516288
